yearID,franchID,name,G,SO
1910,BOS,Boston Red Sox,158,719.0
1910,LAD,Brooklyn Superbas,156,706.0
1910,ATL,Boston Doves,157,540.0
1910,CHW,Chicago White Sox,156,648.0
1910,CHC,Chicago Cubs,154,501.0
1910,CIN,Cincinnati Reds,156,515.0
1910,CLE,Cleveland Naps,161,645.0
1910,DET,Detroit Tigers,155,572.0
1910,SFG,New York Giants,155,489.0
1910,NYY,New York Highlanders,156,634.0
1910,OAK,Philadelphia Athletics,155,573.0
1910,PHI,Philadelphia Phillies,157,559.0
1910,PIT,Pittsburgh Pirates,154,524.0
1910,BAL,St. Louis Browns,158,841.0
1910,STL,St. Louis Cardinals,153,581.0
1910,MIN,Washington Senators,157,630.0
1911,BOS,Boston Red Sox,153,
1911,LAD,Brooklyn Dodgers,154,683.0
1911,ATL,Boston Rustlers,156,577.0
1911,CHW,Chicago White Sox,154,
1911,CHC,Chicago Cubs,157,617.0
1911,CIN,Cincinnati Reds,159,594.0
1911,CLE,Cleveland Naps,156,
1911,DET,Detroit Tigers,154,
1911,SFG,New York Giants,154,506.0
1911,NYY,New York Highlanders,153,
1911,OAK,Philadelphia Athletics,152,
1911,PHI,Philadelphia Phillies,153,588.0
1911,PIT,Pittsburgh Pirates,155,583.0
1911,BAL,St. Louis Browns,152,
1911,STL,St. Louis Cardinals,158,650.0
1911,MIN,Washington Senators,154,
1912,BOS,Boston Red Sox,154,
1912,LAD,Brooklyn Dodgers,153,584.0
1912,ATL,Boston Braves,155,690.0
1912,CHW,Chicago White Sox,158,
1912,CHC,Chicago Cubs,152,615.0
1912,CIN,Cincinnati Reds,155,492.0
1912,CLE,Cleveland Naps,155,
1912,DET,Detroit Tigers,154,
1912,SFG,New York Giants,154,497.0
1912,NYY,New York Highlanders,153,
1912,OAK,Philadelphia Athletics,153,
1912,PHI,Philadelphia Phillies,152,615.0
1912,PIT,Pittsburgh Pirates,152,514.0
1912,BAL,St. Louis Browns,157,
1912,STL,St. Louis Cardinals,153,620.0
1912,MIN,Washington Senators,154,
1913,BOS,Boston Red Sox,151,534.0
1913,LAD,Brooklyn Superbas,152,555.0
1913,ATL,Boston Braves,154,640.0
